Acta,resultado aceptable,Digitos,Precision,Caja,Votos CC,Votos MAS
10035,No,|['5', '5', '2', '5']|,|[98.14116668701172, 98.02120208740234, 98.47476196289062, 99.26252746582031]|,|[[[[66, 5], [98, 5], [98, 40], [66, 40]]], [[[116, 3], [150, 3], [150, 40], [116, 40]]], [[[68, 267], [96, 267], [98, 295], [69, 297]]], [[[126, 265], [152, 265], [154, 295], [126, 297]]]]|,55,25
10036,No,|['6', '2', '2', '7']|,|[93.85537719726562, 99.3969955444336, 98.82585906982422, 96.31499481201172]|,|[[[[72, 8], [92, 8], [92, 45], [72, 45]]], [[[126, 11], [156, 11], [156, 48], [126, 48]]], [[[76, 267], [104, 267], [104, 299], [76, 299]]], [[[122, 265], [142, 265], [144, 303], [124, 303]]]]|,62,27
10037,No,|['y', '7', '3', '3']|,|[66.86422729492188, 58.63272476196289, 99.14331817626953, 99.17481231689453]|,|[[[[70, 13], [94, 13], [94, 47], [70, 47]]], [[[124, 13], [148, 13], [148, 47], [124, 47]]], [[[65, 269], [86, 269], [86, 293], [65, 293]]], [[[118, 267], [140, 267], [140, 291], [118, 291]]]]|,7,33
10038,No,|['1', '5', '2', '8']|,|[96.46788024902344, 96.89334869384766, 98.80220794677734, 92.85440826416016]|,|[[[[20, 10], [37, 10], [37, 45], [20, 45]]], [[[67, 11], [88, 11], [88, 45], [68, 46]]], [[[70, 265], [92, 265], [92, 303], [70, 303]]], [[[122, 265], [154, 265], [154, 303], [122, 303]]]]|,150,28
10039,No,|['2', 'S', '8', '2']|,|[85.77249145507812, 90.39891815185547, 77.80228424072266, 85.77249145507812]|,|[[[[62, 266], [85, 265], [87, 304], [64, 304]]], [[[65, 11], [92, 11], [92, 44], [65, 44]]], [[[126, 8], [148, 7], [150, 45], [128, 46]]], [[[63, 267], [85, 265], [86, 303], [64, 304]]]]|,8,20
10040,No,|['1', '3', '5', '3', '3']|,|[88.71000671386719, 96.41900634765625, 99.0584945678711, 98.75396728515625, 98.47935485839844]|,|[[[[12, 8], [30, 8], [30, 43], [12, 43]]], [[[62, 13], [88, 13], [88, 44], [62, 44]]], [[[120, 13], [146, 13], [146, 43], [120, 43]]], [[[64, 267], [94, 267], [94, 303], [64, 303]]], [[[116, 267], [146, 267], [146, 303], [116, 303]]]]|,135,33
10041,No,|['2', '6', '6', '6', '2', '6']|,|[99.48350524902344, 91.75841522216797, 97.60030364990234, 91.75841522216797, 99.48350524902344, 97.60030364990234]|,|[[[[118, 13], [138, 13], [140, 40], [118, 41]]], [[[67, 15], [83, 15], [83, 44], [67, 44]]], [[[118, 263], [142, 263], [142, 299], [118, 299]]], [[[67, 15], [83, 15], [83, 44], [67, 44]]], [[[118, 13], [138, 13], [140, 40], [118, 41]]], [[[118, 263], [142, 263], [142, 299], [118, 299]]]]|,62,6
10042,No,|['6', '6', 'O']|,|[98.10157775878906, 98.10157775878906, 77.16826629638672]|,|[[[[63, 5], [88, 5], [88, 40], [63, 40]]], [[[63, 5], [88, 5], [88, 40], [63, 40]]], [[[118, 263], [150, 263], [150, 299], [118, 299]]]]|,60,0
