Acta,resultado aceptable,Digitos,Precision,Caja,Votos CC,Votos MAS
10001,No,|['1', '9', '1', '9']|,|[94.56055450439453, 89.4684066772461, 94.56055450439453, 89.4684066772461]|,|[[[[131, 15], [147, 11], [152, 32], [136, 35]]], [[[126, 265], [144, 265], [144, 289], [126, 289]]], [[[132, 15], [146, 11], [152, 31], [136, 35]]], [[[126, 265], [144, 265], [144, 289], [126, 289]]]]|,1,9
10002,No,|['2', '2', '3', '5']|,|[98.60379791259766, 98.60379791259766, 86.56684112548828, 98.84415435791016]|,|[[[[126, 8], [156, 8], [156, 43], [126, 43]]], [[[126, 8], [156, 8], [156, 43], [126, 43]]], [[[70, 267], [100, 267], [100, 299], [70, 299]]], [[[120, 263], [152, 263], [152, 297], [120, 297]]]]|,2,35
10003,No,|['O', '1', 's', '1']|,|[76.19983673095703, 83.3104476928711, 81.84569549560547, 84.8014144897461]|,|[[[[68, 13], [94, 11], [96, 43], [69, 44]]], [[[128, 8], [158, 8], [158, 41], [128, 41]]], [[[98, 250], [114, 267], [92, 286], [78, 269]]], [[[126, 259], [160, 259], [160, 299], [126, 299]]]]|,1,1
10004,No,|['3', '3']|,|[98.2174301147461, 98.2174301147461]|,|[[[[73, 13], [96, 13], [96, 43], [73, 43]]], [[[73, 13], [96, 13], [96, 43], [73, 43]]]]|,30,0
10005,No,|['2', 'a', '2', 'a', '1', '1', '8']|,|[98.63601684570312, 58.84318923950195, 98.63601684570312, 58.84318923950195, 92.90254974365234, 95.60635375976562, 97.21536254882812]|,|[[[[62, 8], [85, 8], [85, 46], [62, 46]]], [[[120, 11], [136, 10], [138, 40], [122, 41]]], [[[62, 8], [85, 8], [85, 46], [62, 46]]], [[[120, 11], [136, 10], [138, 40], [122, 41]]], [[[1, 269], [23, 269], [23, 301], [1, 301]]], [[[57, 265], [86, 265], [86, 299], [57, 299]]], [[[118, 265], [144, 265], [144, 297], [118, 297]]]]|,20,118
10006,No,|['4', 'O', '1', '5', '4']|,|[61.57295227050781, 58.1033821105957, 96.69252014160156, 98.82565307617188, 61.57295227050781]|,|[[[[128, 263], [146, 263], [146, 291], [128, 291]]], [[[17, 13], [38, 13], [38, 41], [17, 41]]], [[[73, 13], [94, 13], [96, 40], [74, 40]]], [[[128, 15], [148, 15], [148, 41], [128, 41]]], [[[128, 263], [146, 263], [146, 291], [128, 291]]]]|,15,4
10007,No,[],[],[],0,0
10008,No,|['o', 'L', '1', '2', '3']|,|[69.78286743164062, 77.61296081542969, 74.09379577636719, 96.69294738769531, 96.00376892089844]|,|[[[[16, 13], [43, 13], [43, 36], [16, 36]]], [[[78, 13], [98, 13], [98, 37], [78, 37]]], [[[14, 269], [36, 269], [36, 295], [14, 295]]], [[[73, 265], [96, 265], [96, 295], [73, 295]]], [[[118, 269], [152, 269], [152, 299], [118, 299]]]]|,0,123
10009,No,|['Y', 'Y', '1', '1', '3']|,|[48.42156219482422, 48.42156219482422, 83.29344177246094, 92.49130249023438, 61.18952178955078]|,|[[[[130, 22], [156, 22], [156, 53], [130, 53]]], [[[130, 22], [156, 22], [156, 53], [130, 53]]], [[[14, 263], [50, 263], [50, 301], [14, 301]]], [[[72, 261], [104, 261], [104, 297], [72, 297]]], [[[130, 265], [160, 265], [160, 304], [130, 304]]]]|,0,113
10010,No,|['9', '9', '6', '6']|,|[98.75961303710938, 98.75961303710938, 97.35243225097656, 94.25614166259766]|,|[[[[126, 7], [144, 7], [144, 44], [126, 44]]], [[[126, 7], [144, 7], [144, 44], [126, 44]]], [[[72, 269], [94, 269], [94, 299], [72, 299]]], [[[122, 267], [146, 267], [146, 301], [122, 301]]]]|,9,66
