Acta,resultado aceptable,Digitos,Precision,Caja,Votos CC,Votos MAS
10803,No,|['3', 'A', '5', '3']|,|[99.44396209716797, 65.84716033935547, 99.20195007324219, 99.44396209716797]|,|[[[[70, 273], [92, 271], [94, 301], [72, 302]]], [[[9, 20], [36, 20], [36, 46], [9, 46]]], [[[66, 18], [90, 18], [90, 46], [66, 46]]], [[[71, 272], [92, 272], [94, 301], [72, 301]]]]|,50,30
10804,No,|['6', 'A', 'A', 'S']|,|[97.88401794433594, 50.0859489440918, 93.39926147460938, 78.37937927246094]|,|[[[[63, 15], [84, 15], [84, 45], [63, 45]]], [[[114, 15], [132, 15], [132, 37], [114, 37]]], [[[57, 272], [88, 272], [88, 295], [57, 295]]], [[[116, 272], [140, 272], [140, 301], [116, 301]]]]|,60,0
10805,No,|['7', '6', '7', '2']|,|[68.77963256835938, 98.20149230957031, 73.05406188964844, 93.88182830810547]|,|[[[[66, 6], [96, 6], [96, 45], [66, 45]]], [[[126, 6], [146, 6], [146, 40], [126, 40]]], [[[70, 265], [92, 265], [92, 299], [70, 299]]], [[[120, 265], [148, 265], [148, 297], [120, 297]]]]|,76,72
10806,No,|['0', '9', '5', '9']|,|[62.02744674682617, 76.85322570800781, 59.51545333862305, 61.718727111816406]|,|[[[[11, 23], [35, 23], [35, 48], [11, 48]]], [[[70, 17], [90, 17], [90, 51], [70, 51]]], [[[62, 272], [90, 272], [90, 301], [62, 301]]], [[[110, 269], [136, 269], [136, 301], [110, 301]]]]|,90,59
10807,No,|['1', 'y', 'H', '6', '1', 'y', 'H', '6']|,|[66.19337463378906, 58.30768966674805, 55.77767562866211, 97.46025085449219, 66.19337463378906, 58.30768966674805, 55.77767562866211, 97.46025085449219]|,|[[[[68, 17], [83, 17], [83, 37], [68, 37]]], [[[124, 20], [138, 20], [138, 43], [124, 43]]], [[[69, 280], [86, 280], [86, 303], [69, 303]]], [[[126, 282], [142, 282], [142, 301], [126, 301]]], [[[68, 17], [83, 17], [83, 37], [68, 37]]], [[[124, 20], [138, 20], [138, 43], [124, 43]]], [[[69, 280], [86, 280], [86, 303], [69, 303]]], [[[126, 282], [142, 282], [142, 301], [126, 301]]]]|,10,6
10808,No,|['n', 'n', 'S', '3']|,|[43.30705261230469, 43.30705261230469, 96.98504638671875, 93.8529281616211]|,|[[[[58, 23], [82, 23], [82, 31], [58, 31]]], [[[58, 23], [82, 23], [82, 31], [58, 31]]], [[[65, 276], [88, 276], [88, 299], [65, 299]]], [[[118, 276], [146, 276], [146, 301], [118, 301]]]]|,0,3
10809,No,|['6', '6', '6', '3']|,|[99.60852813720703, 99.60852813720703, 65.7376480102539, 98.09746551513672]|,|[[[[130, 17], [150, 17], [150, 45], [130, 45]]], [[[130, 17], [150, 17], [150, 45], [130, 45]]], [[[73, 269], [96, 269], [96, 301], [73, 301]]], [[[124, 267], [152, 267], [152, 299], [124, 299]]]]|,6,63
10810,No,|['9', 'G', '9', 'G']|,|[65.01512908935547, 62.581539154052734, 65.01512908935547, 62.581539154052734]|,|[[[[73, 20], [90, 20], [90, 45], [73, 45]]], [[[70, 267], [90, 267], [90, 297], [70, 297]]], [[[73, 20], [90, 20], [90, 45], [73, 45]]], [[[70, 267], [90, 267], [90, 297], [70, 297]]]]|,90,0
10811,No,|['2', '2', '8', '6']|,|[97.27009582519531, 97.27009582519531, 79.08999633789062, 78.10025024414062]|,|[[[[128, 3], [158, 3], [158, 37], [128, 37]]], [[[128, 3], [158, 3], [158, 37], [128, 37]]], [[[77, 263], [106, 263], [106, 297], [77, 297]]], [[[132, 261], [154, 261], [154, 295], [132, 295]]]]|,2,86
10812,No,|['O', 'O']|,|[56.8692626953125, 56.8692626953125]|,|[[[[72, 13], [100, 14], [99, 49], [71, 48]]], [[[73, 13], [100, 15], [98, 48], [72, 47]]]]|,0,0
